n,mean,median,sd,skew,kurt,q50,q75,q90,q95,q99,p_exceed_q95,ES_abs_95,series,window
1440,-0.2798611111111112,-73.5,964.5603095908843,0.5893643593239833,3.6613817771318637,-73.5,485.5,1248.4000000000005,1735.4999999999995,2735.9299999999985,0.05,2499.1111111111113,gross,1m
1440,-1.0819444444444444,-128,1263.7228180644843,0.42313672325881835,3.917193453126055,-128,749.25,1606.700000000001,2250.45,3683.6599999999994,0.05,3268.7916666666665,residual,1m
4370,0.6045766590389017,-94,895.5895749829511,0.5785657956728304,3.5769945341778335,-94,490,1175.1999999999998,1601.1000000000004,2547.3100000000004,0.05011441647597254,2264.904109589041,gross,3m
4370,-0.38375286041189927,-158.5,1243.4732871475355,0.5861018138203224,4.011762341903422,-158.5,698,1650.1,2294.55,3566.820000000009,0.05011441647597254,3195.1689497716893,residual,3m
8786,0.21807420896881405,-90,768.436568296766,0.5777897238239471,4.031253359590938,-90,408,1000,1382.75,2351.1499999999996,0.050079672205781925,1975.9977272727272,gross,6m
8786,-0.48839062144320505,-147,1141.740592304414,0.5931545766991112,4.220468992152898,-147,615,1525.5,2083.5,3189.749999999998,0.050079672205781925,2965.225,residual,6m
17567,-0.20379119940798088,-88,811.1853896902802,0.5610744721360268,3.976902562401632,-88,431,1049,1440.7000000000007,2451.3600000000006,0.05003700119542324,2085.14220705347,gross,12m
17567,-0.05675414128764155,-151,1208.8507652906194,0.5795809460530623,4.339304578590832,-151,658,1573.3999999999996,2166,3498.7000000000007,0.05003700119542324,3193.169510807736,residual,12m
