series,window,n,mean,median,sd,min,q01,q05,q10,q50,q75,q90,q95,q99,max,q90_abs,q95_abs,q99_abs
gross,all,279238,-0.0210716306519887,-88,1028.199926279739,-37137,-2073,-1573,-1239,-88,435,1185,1812,3057,38612,1653,2060,3061
residual,all,279238,-0.026719142810076004,-117,1186.8312935621204,-40032,-2329.63,-1723,-1363,-117,562,1466.3000000000175,2114,3332,39124,1871,2321,3394.6300000000047
