series,window,n,mean,median,sd,min,q01,q05,q10,q50,q75,q90,q95,q99,max,q90_abs,q95_abs,q99_abs
gross,6m,8786,0.21807420896881405,-90,768.436568296766,-2172,-1628,-1229,-929,-90,408,1000,1382.75,2351.1499999999996,3314,1299.5,1544.75,2351.1499999999996
residual,6m,8786,-0.48839062144320505,-147,1141.740592304414,-4343,-2426.1,-1624.75,-1268,-147,615,1525.5,2083.5,3189.749999999998,5608,1851.5,2312.5,3433.2999999999993
